tema;data;link;duration;tags
Gerenciando pacotes e ambientes com Poetry - Live de Python #179;20211011;http://youtu.be/ZOSWdktsKf0;5453;Live de Python, Eduardo Mendes, Curso de python, poetry, virtualenv, venv, setuptools, pypi, pip
Documentando APIs com OpenAPI - Live de Python #178;20211004;http://youtu.be/TfGHNBaK9a0;6910;Live de Python, Eduardo Mendes, curso de python, OpenAPI, Swagger, Redoc, Python, code generator, fastAPI, Pydantic
Interfaces gráficas com Tkinter - Live de Python #177;20210913;http://youtu.be/vNEwbfsZ-Js;9315;Live de Python, Eduardo Mendes, curso de python, tkinter, tk, ttk, pygubu, ttkbootstrap, ttkthemes, cz_freeze, GUI, widgets
Manipulando imagens com Pillow - Live de Python #176;20210906;http://youtu.be/kT85FfTE22E;7885;Live de Python, Eduardo Mendes, curso de python, PIL, pillow, numpy, matrizes, colorização, edição de imagens, thumbnail, Processamento de imagem, opencv
API REST - Live de Python #175;20210830;http://youtu.be/1_nQ5A2HcgU;8075;Live de Python, Eduardo Mendes, curso de python, Python, Flask, API, REST, tinyDB, Pydantic
Norvig's lis.py: um interpretador funcional em 132 linhas de código Python - com Luciano Ramalho;20210823;http://youtu.be/obwNxKHDwlw;13605;Live de Python, Eduardo Mendes, Python, Python 3, Luciano Ramalho, Lisp, lispy
MongoDB - Live de Python #174;20210816;http://youtu.be/gOTMudRsf6A;6835;Live de Python, Eduardo Mendes, curso de python, python, pyinstaller, Numba, Cython, pyoxidizer
Gerando executáveis - Live de Python #173;20210802;http://youtu.be/EoQFKtPz15Y;7405;Live de Python, Eduardo Mendes, curso de python, python, pyinstaller, Numba, Cython, pyoxidizer
Bate-papo com inscritos, Perguntas e respostas: Python, vida, universo e tudo mais;20210719;http://youtu.be/RaCD6K2JM_w;5735;Live de Python, Eduardo Mendes, curso de python, python
FaaS e AWS Lambdas - Live de Python #172;20210712;http://youtu.be/jWDUUgf7xzg;7540;Live de Python, Eduardo Mendes, curso de python, python, aws, lambda, chalice, awscli, apigateway, s3
Pattern Matching - Live de Python #171;20210705;http://youtu.be/QqigW-yxtOw;6792;Live de Python, Eduardo Mendes, curso de python, python3, Python, Switch case, Switch, Pattern, Matching, Pattern Matching, python 3.10, 3.10
Github Actions - Live de Python #170 - Com Willian Lopes;20210628;http://youtu.be/L1f6N6NcgPw;7180;Live De Python, Github Actions, Github, Actions, Willian Lopes
Mercado de trabalho de Python no Brasil - Live de Python #169;20210621;http://youtu.be/BieZQkwt1UQ;7070;Python, pyjobs, Mercado, trabalho
Pytest Fixtures - Live de Python #168;20210614;http://youtu.be/sidi9Z_IkLU;6749;Live de Python, Eduardo Mendes, curso de python, python3, Python, Pytest, fixtures, mark, cli, skip, xfail
Pytest: Uma introdução - Live de Python #167;20210607;http://youtu.be/MjQCvJmc31A;7130;Live de Python, Eduardo Mendes, curso de python, python3, Python, Pytest, fixtures, mark, cli, skip, xfail
Novidades do SQLAlchemy (orm async, 2.0 e queries) - Live de Python #166;20210531;http://youtu.be/nwJYbbJfJpg;5493;Live de Python, Eduardo Mendes, curso de python, python3, Python, SQLAlchemy, 1.4, 2.0, queries, select, async, ORM async, asyncio
Pydantic - Live de Python #165;20210517;http://youtu.be/UdfLu1G47BU;7320;Live de Python, Eduardo Mendes, curso de python, python3, Python, Pydantic, Typing, config files, Models
WebSockets - Live de Python #164;20210426;http://youtu.be/EqFzY8dBWHs;8574;Live de Python, Eduardo Mendes, curso de python, python3, Python, fastapi, brython, websockets
Live especial de 4 anos;20210419;http://youtu.be/d1Uoz3nLFzU;4990;Live de Python, Eduardo Mendes, curso de python, python3, Python, Safety, pip, CVE, pyup, git-hook, upgrade
Sua aplicação NÃO está segura - Live de Python #163;20210412;http://youtu.be/cEkA9PH2oEk;5930;Live de Python, Eduardo Mendes, curso de python, python3, Python, Safety, pip, CVE, pyup, git-hook, upgrade
Live de Python #162 -  Deploy de aplicação no Heroku;20210405;http://youtu.be/fyhZ3a963wI;6310;Live de Python, Eduardo Mendes, curso de python, python3, Python, heroku, produção
Live de Python #161 -  Plotly Dash;20210329;http://youtu.be/fKgPXUUsg1M;5847;Live de Python, Eduardo Mendes, curso de python, python3, dash, plotly, dashboards, gráficos
Live de Python #160 - Peewee ORM, simplificando banco de dados;20210322;http://youtu.be/fJixdxPOz-E;6365;Live de Python, Eduardo Mendes, curso de python, python3, Peewee, ORM, Banco de dados, sqllite, postgresql, mysql, CockroachDB
Live de Python #159 - Celery;20210315;http://youtu.be/ig9hbt-yKkM;8560;Live de Python, Eduardo Mendes, curso de python, python3, Celery, RabbitMQ, Flower, Producer, Consumer, Microservissos
Live de Python #158 - Jogos com Pygame;20210308;http://youtu.be/t5uxBACjp8Y;7540;Live de Python, Eduardo Mendes, curso de python, python3, pygame, jogos, python, shooter
Live de Python #157 - CLIs com Google Fire;20210301;http://youtu.be/WnV553cjbo0;3525;Live de Python, Eduardo Mendes, curso de python, python3, Fire, google, google fire, CLIs, interface de linha de comando
KivyMD, aparência nativa para apps Android - Live de Python #156;20210222;http://youtu.be/TdVp1GB-8HQ;6965;Live de Python, Eduardo Mendes, curso de python, python3, kivy2, kivy, kivymd, material design, mobile, aplicativo, app, plyer, sweetalerts, buildozer
Live de Python #155 - Perguntas e Respostas;20210215;http://youtu.be/VRcLJNTw8qg;5775;Live de Python, Eduardo Mendes, curso de python, python3, Perguntas e respostas
Live de Python #154 - Uma introdução histórica à corrotinas PARTE 3 (AsyncIO);20210208;http://youtu.be/I8doc-MlQ9g;5060;Live de Python, Eduardo Mendes, curso de python, python3, yield from, coroutines, corrotinas, asyncio, yield, gather, event loop
Live de Python #153 - Uma introdução histórica à corrotinas PARTE 2;20210201;http://youtu.be/Sj9cvkWZjac;5869;Live de Python, Eduardo Mendes, curso de python, python3, yiled, yield from, coroutines, corrotinas, asyncio
Live de Python #152 - Uma introdução histórica à corrotinas;20210125;http://youtu.be/b6LT6O1s3_8;5375;Live de Python, Eduardo Mendes, curso de python, python3, yiled, yield from, coroutines, corrotinas, asyncio
Live de Python #151 - Desvendando o yield e as funções geradoras;20210111;http://youtu.be/ZjwZ9nfhsk4;4990;Live de Python, Eduardo Mendes, curso de python, python3, dataclasses, primitive obsession, obsessão por primitivos, pydantic, attrs, namedtuple
Live de Python #150 - Dataclasses e obsessão por primitivos;20210104;http://youtu.be/NtZY3AmsBSk;5010;Live de Python, Eduardo Mendes, curso de python, python3, dataclasses, primitive obsession, obsessão por primitivos, pydantic, attrs, namedtuple
Live de Python - Retrospectiva 2020;20201228;http://youtu.be/qH5Hd1o8qGw;4411;Live de Python, Eduardo Mendes, Retrospectiva 2020
Live de Python - Especial de natal;20201221;http://youtu.be/b3IxZdrze9U;8501;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Natal, bate papo
